; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26589
;		c	0.23416
;		g	0.23390
;		t	0.26605
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m2	15	4	1	-46.100	16.000	62.100	a:0.266 c:0.234 g:0.234 t:0.266 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m2	-5.0	1551	2703357	52787	1.915249e-02	1.461951e-02	40293.47	0.000000e+00	0.000000e+00	350.00	1
dyads_m2	-4.9	1519	2704876	51268	1.860136e-02	1.405828e-02	38746.62	0.000000e+00	0.000000e+00	350.00	2
dyads_m2	-4.8	1484	2706360	49784	1.806292e-02	1.361150e-02	37515.24	0.000000e+00	0.000000e+00	350.00	3
dyads_m2	-4.7	1492	2707852	48292	1.752159e-02	1.308156e-02	36054.64	0.000000e+00	0.000000e+00	350.00	4
dyads_m2	-4.6	1383	2709235	46909	1.701980e-02	1.261662e-02	34773.21	0.000000e+00	0.000000e+00	350.00	5
dyads_m2	-4.5	1362	2710597	45547	1.652563e-02	1.220967e-02	33651.60	0.000000e+00	0.000000e+00	350.00	6
dyads_m2	-4.4	1398	2711995	44149	1.601840e-02	1.172772e-02	32323.29	0.000000e+00	0.000000e+00	350.00	7
dyads_m2	-4.3	1279	2713274	42870	1.555435e-02	1.134490e-02	31268.16	0.000000e+00	0.000000e+00	350.00	8
dyads_m2	-4.2	1280	2714554	41590	1.508993e-02	1.093206e-02	30130.32	0.000000e+00	0.000000e+00	350.00	9
dyads_m2	-4.1	1217	2715771	40373	1.464837e-02	1.049233e-02	28918.35	0.000000e+00	0.000000e+00	350.00	10
dyads_m2	-4.0	1232	2717003	39141	1.420137e-02	1.014316e-02	27956.00	0.000000e+00	0.000000e+00	350.00	11
dyads_m2	-3.9	1247	2718250	37894	1.374892e-02	9.731312e-03	26820.89	0.000000e+00	0.000000e+00	350.00	12
dyads_m2	-3.8	1177	2719427	36717	1.332188e-02	9.369765e-03	25824.41	0.000000e+00	0.000000e+00	350.00	13
dyads_m2	-3.7	1101	2720528	35616	1.292241e-02	9.020259e-03	24861.12	0.000000e+00	0.000000e+00	350.00	14
dyads_m2	-3.6	1164	2721692	34452	1.250008e-02	8.715536e-03	24021.26	0.000000e+00	0.000000e+00	350.00	15
