; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	2	2	1566	0.00128	0.00128	1.00000
-420	-400	-410	1	3	1564	0.00064	0.00192	0.99872
-400	-380	-390	0	3	1563	0.00000	0.00192	0.99808
-380	-360	-370	0	3	1563	0.00000	0.00192	0.99808
-360	-340	-350	0	3	1563	0.00000	0.00192	0.99808
-340	-320	-330	0	3	1563	0.00000	0.00192	0.99808
-320	-300	-310	0	3	1563	0.00000	0.00192	0.99808
-300	-280	-290	0	3	1563	0.00000	0.00192	0.99808
-280	-260	-270	1	4	1563	0.00064	0.00255	0.99808
-260	-240	-250	0	4	1562	0.00000	0.00255	0.99745
-240	-220	-230	2	6	1562	0.00128	0.00383	0.99745
-220	-200	-210	3	9	1560	0.00192	0.00575	0.99617
-200	-180	-190	8	17	1557	0.00511	0.01086	0.99425
-180	-160	-170	16	33	1549	0.01022	0.02107	0.98914
-160	-140	-150	25	58	1533	0.01596	0.03704	0.97893
-140	-120	-130	27	85	1508	0.01724	0.05428	0.96296
-120	-100	-110	55	140	1481	0.03512	0.08940	0.94572
-100	-80	-90	67	207	1426	0.04278	0.13218	0.91060
-80	-60	-70	105	312	1359	0.06705	0.19923	0.86782
-60	-40	-50	135	447	1254	0.08621	0.28544	0.80077
-40	-20	-30	131	578	1119	0.08365	0.36909	0.71456
-20	0	-10	152	730	988	0.09706	0.46616	0.63091
0	20	10	169	899	836	0.10792	0.57407	0.53384
20	40	30	153	1052	667	0.09770	0.67178	0.42593
40	60	50	135	1187	514	0.08621	0.75798	0.32822
60	80	70	118	1305	379	0.07535	0.83333	0.24202
80	100	90	74	1379	261	0.04725	0.88059	0.16667
100	120	110	67	1446	187	0.04278	0.92337	0.11941
120	140	130	52	1498	120	0.03321	0.95658	0.07663
140	160	150	36	1534	68	0.02299	0.97957	0.04342
160	180	170	19	1553	32	0.01213	0.99170	0.02043
180	200	190	6	1559	13	0.00383	0.99553	0.00830
200	220	210	3	1562	7	0.00192	0.99745	0.00447
220	240	230	1	1563	4	0.00064	0.99808	0.00255
240	260	250	0	1563	3	0.00000	0.99808	0.00192
260	280	270	1	1564	3	0.00064	0.99872	0.00192
280	300	290	0	1564	2	0.00000	0.99872	0.00128
300	320	310	1	1565	2	0.00064	0.99936	0.00128
320	340	330	0	1565	1	0.00000	0.99936	0.00064
340	360	350	1	1566	1	0.00064	1.00000	0.00064
; Statistics:
; -----------
; class interval     	20
; classes            	40
; count              	1566
; sum                	6792
; mean               	4.33716
; median class       	[-20..0[
; var                	6.45e+03
; std                	80.3089
; min                	-429
; max                	359
; range              	788
; Host name	biow
; Job started	2014-10-07.094345
; Job done	2014-10-07.094345
; Seconds	0.23
;	user	0.23
;	system	0.02
;	cuser	0
;	csystem	0
