; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_6nt_mkv4_m2/peak-motifs_oligos_6nt_mkv4_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-420	-400	-410	2	2	1520	0.00132	0.00132	1.00000
-400	-380	-390	0	2	1518	0.00000	0.00132	0.99868
-380	-360	-370	0	2	1518	0.00000	0.00132	0.99868
-360	-340	-350	0	2	1518	0.00000	0.00132	0.99868
-340	-320	-330	0	2	1518	0.00000	0.00132	0.99868
-320	-300	-310	0	2	1518	0.00000	0.00132	0.99868
-300	-280	-290	0	2	1518	0.00000	0.00132	0.99868
-280	-260	-270	0	2	1518	0.00000	0.00132	0.99868
-260	-240	-250	0	2	1518	0.00000	0.00132	0.99868
-240	-220	-230	3	5	1518	0.00197	0.00329	0.99868
-220	-200	-210	0	5	1515	0.00000	0.00329	0.99671
-200	-180	-190	6	11	1515	0.00395	0.00724	0.99671
-180	-160	-170	6	17	1509	0.00395	0.01118	0.99276
-160	-140	-150	22	39	1503	0.01447	0.02566	0.98882
-140	-120	-130	40	79	1481	0.02632	0.05197	0.97434
-120	-100	-110	41	120	1441	0.02697	0.07895	0.94803
-100	-80	-90	102	222	1400	0.06711	0.14605	0.92105
-80	-60	-70	89	311	1298	0.05855	0.20461	0.85395
-60	-40	-50	114	425	1209	0.07500	0.27961	0.79539
-40	-20	-30	134	559	1095	0.08816	0.36776	0.72039
-20	0	-10	133	692	961	0.08750	0.45526	0.63224
0	20	10	144	836	828	0.09474	0.55000	0.54474
20	40	30	114	950	684	0.07500	0.62500	0.45000
40	60	50	167	1117	570	0.10987	0.73487	0.37500
60	80	70	125	1242	403	0.08224	0.81711	0.26513
80	100	90	80	1322	278	0.05263	0.86974	0.18289
100	120	110	71	1393	198	0.04671	0.91645	0.13026
120	140	130	60	1453	127	0.03947	0.95592	0.08355
140	160	150	26	1479	67	0.01711	0.97303	0.04408
160	180	170	20	1499	41	0.01316	0.98618	0.02697
180	200	190	4	1503	21	0.00263	0.98882	0.01382
200	220	210	5	1508	17	0.00329	0.99211	0.01118
220	240	230	8	1516	12	0.00526	0.99737	0.00789
240	260	250	1	1517	4	0.00066	0.99803	0.00263
260	280	270	3	1520	3	0.00197	1.00000	0.00197
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	1520
; sum                	13404
; mean               	8.81842
; median class       	[-20..0[
; var                	6.58e+03
; std                	81.1023
; min                	-418.5
; max                	267.5
; range              	686
; Host name	biow
; Job started	2014-10-07.093940
; Job done	2014-10-07.093940
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
