; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26589
;		c	0.23416
;		g	0.23390
;		t	0.26605
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name              	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_7nt_mkv5_m1	11	4	1	-39.100	10.900	50.000	a:0.266 c:0.234 g:0.234 t:0.266 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_7nt_mkv5_m1	-5.0	1513	2751649	60823	2.162619e-02	1.810680e-02	50924.83	0.000000e+00	0.000000e+00	350.00	1
oligos_7nt_mkv5_m1	-4.9	1530	2753179	59293	2.108218e-02	1.752359e-02	49284.57	0.000000e+00	0.000000e+00	350.00	2
oligos_7nt_mkv5_m1	-4.8	1607	2754786	57686	2.051080e-02	1.706572e-02	47996.82	0.000000e+00	0.000000e+00	350.00	3
oligos_7nt_mkv5_m1	-4.7	1507	2756293	56179	1.997497e-02	1.649194e-02	46383.09	0.000000e+00	0.000000e+00	350.00	4
oligos_7nt_mkv5_m1	-4.6	1474	2757767	54705	1.945087e-02	1.597933e-02	44941.40	0.000000e+00	0.000000e+00	350.00	5
oligos_7nt_mkv5_m1	-4.5	1626	2759393	53079	1.887273e-02	1.554644e-02	43723.89	0.000000e+00	0.000000e+00	350.00	6
oligos_7nt_mkv5_m1	-4.4	1603	2760996	51476	1.830277e-02	1.501182e-02	42220.28	0.000000e+00	0.000000e+00	350.00	7
oligos_7nt_mkv5_m1	-4.3	1568	2762564	49908	1.774526e-02	1.456812e-02	40972.39	0.000000e+00	0.000000e+00	350.00	8
oligos_7nt_mkv5_m1	-4.2	1519	2764083	48389	1.720516e-02	1.408291e-02	39607.77	0.000000e+00	0.000000e+00	350.00	9
oligos_7nt_mkv5_m1	-4.1	1645	2765728	46744	1.662027e-02	1.354798e-02	38103.30	0.000000e+00	0.000000e+00	350.00	10
oligos_7nt_mkv5_m1	-4.0	1600	2767328	45144	1.605137e-02	1.312029e-02	36900.42	0.000000e+00	0.000000e+00	350.00	11
oligos_7nt_mkv5_m1	-3.9	1546	2768874	43598	1.550168e-02	1.259236e-02	35415.64	0.000000e+00	0.000000e+00	350.00	12
oligos_7nt_mkv5_m1	-3.8	1550	2770424	42048	1.495056e-02	1.211163e-02	34063.58	0.000000e+00	0.000000e+00	350.00	13
oligos_7nt_mkv5_m1	-3.7	1400	2771824	40648	1.445278e-02	1.167084e-02	32823.88	0.000000e+00	0.000000e+00	350.00	14
oligos_7nt_mkv5_m1	-3.6	1386	2773210	39262	1.395997e-02	1.127733e-02	31717.14	0.000000e+00	0.000000e+00	350.00	15
