; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_6nt_m5/peak-motifs_positions_6nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	462	0.00216	0.00216	1.00000
-340	-320	-330	0	1	461	0.00000	0.00216	0.99784
-320	-300	-310	0	1	461	0.00000	0.00216	0.99784
-300	-280	-290	0	1	461	0.00000	0.00216	0.99784
-280	-260	-270	2	3	461	0.00433	0.00649	0.99784
-260	-240	-250	1	4	459	0.00216	0.00866	0.99351
-240	-220	-230	0	4	458	0.00000	0.00866	0.99134
-220	-200	-210	1	5	458	0.00216	0.01082	0.99134
-200	-180	-190	0	5	457	0.00000	0.01082	0.98918
-180	-160	-170	3	8	457	0.00649	0.01732	0.98918
-160	-140	-150	5	13	454	0.01082	0.02814	0.98268
-140	-120	-130	7	20	449	0.01515	0.04329	0.97186
-120	-100	-110	16	36	442	0.03463	0.07792	0.95671
-100	-80	-90	18	54	426	0.03896	0.11688	0.92208
-80	-60	-70	31	85	408	0.06710	0.18398	0.88312
-60	-40	-50	38	123	377	0.08225	0.26623	0.81602
-40	-20	-30	66	189	339	0.14286	0.40909	0.73377
-20	0	-10	72	261	273	0.15584	0.56494	0.59091
0	20	10	49	310	201	0.10606	0.67100	0.43506
20	40	30	49	359	152	0.10606	0.77706	0.32900
40	60	50	36	395	103	0.07792	0.85498	0.22294
60	80	70	24	419	67	0.05195	0.90693	0.14502
80	100	90	11	430	43	0.02381	0.93074	0.09307
100	120	110	13	443	32	0.02814	0.95887	0.06926
120	140	130	8	451	19	0.01732	0.97619	0.04113
140	160	150	1	452	11	0.00216	0.97835	0.02381
160	180	170	2	454	10	0.00433	0.98268	0.02165
180	200	190	3	457	8	0.00649	0.98918	0.01732
200	220	210	3	460	5	0.00649	0.99567	0.01082
220	240	230	1	461	2	0.00216	0.99784	0.00433
240	260	250	0	461	1	0.00000	0.99784	0.00216
260	280	270	1	462	1	0.00216	1.00000	0.00216
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	462
; sum                	-2885
; mean               	-6.24459
; median class       	[-40..-20[
; var                	5.22e+03
; std                	72.2481
; min                	-351
; max                	260
; range              	611
; Host name	biow
; Job started	2014-10-07.094105
; Job done	2014-10-07.094105
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
