; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26589
;		c	0.23416
;		g	0.23390
;		t	0.26605
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_7nt_m5	14	4	1	-32.200	13.600	45.800	a:0.266 c:0.234 g:0.234 t:0.266 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_7nt_m5	-5.0	4178	2643655	126571	4.568979e-02	4.671276e-02	129404.85	1.000000e+00	1.710000e+02	-2.23	1
positions_7nt_m5	-4.9	4046	2647701	122525	4.422926e-02	4.501142e-02	124691.77	1.000000e+00	1.710000e+02	-2.23	2
positions_7nt_m5	-4.8	3883	2651584	118642	4.282757e-02	4.365336e-02	120929.63	1.000000e+00	1.710000e+02	-2.23	3
positions_7nt_m5	-4.7	3894	2655478	114748	4.142191e-02	4.204242e-02	116466.97	9.999999e-01	1.710000e+02	-2.23	4
positions_7nt_m5	-4.6	3807	2659285	110941	4.004765e-02	4.061868e-02	112522.89	9.999993e-01	1.709999e+02	-2.23	5
positions_7nt_m5	-4.5	3629	2662914	107312	3.873765e-02	3.936661e-02	109054.36	1.000000e+00	1.710000e+02	-2.23	6
positions_7nt_m5	-4.4	3547	2666461	103765	3.745725e-02	3.788233e-02	104942.57	9.998979e-01	1.709825e+02	-2.23	7
positions_7nt_m5	-4.3	3450	2669911	100315	3.621186e-02	3.670220e-02	101673.37	9.999932e-01	1.709988e+02	-2.23	8
positions_7nt_m5	-4.2	3347	2673258	96968	3.500365e-02	3.543006e-02	98149.24	9.999404e-01	1.709898e+02	-2.23	9
positions_7nt_m5	-4.1	3318	2676576	93650	3.380592e-02	3.407387e-02	94392.30	9.931029e-01	1.698206e+02	-2.23	10
positions_7nt_m5	-4.0	3147	2679723	90503	3.266991e-02	3.298963e-02	91388.70	9.985830e-01	1.707577e+02	-2.23	11
positions_7nt_m5	-3.9	3111	2682834	87392	3.154690e-02	3.170550e-02	87831.36	9.343470e-01	1.597733e+02	-2.20	12
positions_7nt_m5	-3.8	3032	2685866	84360	3.045240e-02	3.057545e-02	84700.88	8.832856e-01	1.510418e+02	-2.18	13
positions_7nt_m5	-3.7	2809	2688675	81551	2.943840e-02	2.947659e-02	81656.79	6.469482e-01	1.106281e+02	-2.04	14
positions_7nt_m5	-3.6	2761	2691436	78790	2.844173e-02	2.851915e-02	79004.46	7.810351e-01	1.335570e+02	-2.13	15
