; classfreq  -v 1 -col 2 -i $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/data/sequences/peak-motifs_ctrl_seqlen.tab -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/data/sequences/peak-motifs_ctrl_seqlen_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
20	40	30	1	1	6991	0.00014	0.00014	1.00000
40	60	50	1	2	6990	0.00014	0.00029	0.99986
60	80	70	84	86	6989	0.01202	0.01230	0.99971
80	100	90	254	340	6905	0.03633	0.04863	0.98770
100	120	110	345	685	6651	0.04935	0.09798	0.95137
120	140	130	417	1102	6306	0.05965	0.15763	0.90202
140	160	150	427	1529	5889	0.06108	0.21871	0.84237
160	180	170	464	1993	5462	0.06637	0.28508	0.78129
180	200	190	500	2493	4998	0.07152	0.35660	0.71492
200	220	210	546	3039	4498	0.07810	0.43470	0.64340
220	240	230	540	3579	3952	0.07724	0.51194	0.56530
240	260	250	433	4012	3412	0.06194	0.57388	0.48806
260	280	270	437	4449	2979	0.06251	0.63639	0.42612
280	300	290	418	4867	2542	0.05979	0.69618	0.36361
300	320	310	359	5226	2124	0.05135	0.74753	0.30382
320	340	330	300	5526	1765	0.04291	0.79044	0.25247
340	360	350	265	5791	1465	0.03791	0.82835	0.20956
360	380	370	222	6013	1200	0.03176	0.86011	0.17165
380	400	390	179	6192	978	0.02560	0.88571	0.13989
400	420	410	124	6316	799	0.01774	0.90345	0.11429
420	440	430	129	6445	675	0.01845	0.92190	0.09655
440	460	450	104	6549	546	0.01488	0.93678	0.07810
460	480	470	85	6634	442	0.01216	0.94893	0.06322
480	500	490	73	6707	357	0.01044	0.95938	0.05107
500	520	510	53	6760	284	0.00758	0.96696	0.04062
520	540	530	41	6801	231	0.00586	0.97282	0.03304
540	560	550	33	6834	190	0.00472	0.97754	0.02718
560	580	570	21	6855	157	0.00300	0.98055	0.02246
580	600	590	30	6885	136	0.00429	0.98484	0.01945
600	620	610	22	6907	106	0.00315	0.98798	0.01516
620	640	630	14	6921	84	0.00200	0.98999	0.01202
640	660	650	16	6937	70	0.00229	0.99228	0.01001
660	680	670	8	6945	54	0.00114	0.99342	0.00772
680	700	690	8	6953	46	0.00114	0.99456	0.00658
700	720	710	6	6959	38	0.00086	0.99542	0.00544
720	740	730	10	6969	32	0.00143	0.99685	0.00458
740	760	750	6	6975	22	0.00086	0.99771	0.00315
760	780	770	4	6979	16	0.00057	0.99828	0.00229
780	800	790	3	6982	12	0.00043	0.99871	0.00172
800	820	810	2	6984	9	0.00029	0.99900	0.00129
820	840	830	1	6985	7	0.00014	0.99914	0.00100
840	860	850	0	6985	6	0.00000	0.99914	0.00086
860	880	870	2	6987	6	0.00029	0.99943	0.00086
880	900	890	2	6989	4	0.00029	0.99971	0.00057
900	920	910	0	6989	2	0.00000	0.99971	0.00029
920	940	930	0	6989	2	0.00000	0.99971	0.00029
940	960	950	0	6989	2	0.00000	0.99971	0.00029
960	980	970	0	6989	2	0.00000	0.99971	0.00029
980	1000	990	0	6989	2	0.00000	0.99971	0.00029
1000	1020	1010	0	6989	2	0.00000	0.99971	0.00029
1020	1040	1030	1	6990	2	0.00014	0.99986	0.00029
1040	1060	1050	1	6991	1	0.00014	1.00000	0.00014
; Statistics:
; -----------
; input file	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/data/sequences/peak-motifs_ctrl_seqlen.tab
; class interval     	20
; classes            	52
; count              	6991
; sum                	1.80162e+06
; mean               	257.706
; median class       	[200..220[
; var                	1.47e+04
; std                	121.24
; min                	30
; max                	1040
; range              	1010
; Host name	biow
; Job started	2014-10-07.150423
; Job done	2014-10-07.150423
; Seconds	0.27
;	user	0.27
;	system	0.01
;	cuser	0
;	csystem	0
