#Motif	Logo	3 Top hits in databases
oligos_6nt_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m1/peak-motifs_oligos_6nt_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  SP1, KLF5, SP1, </br>
oligos_6nt_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m2/peak-motifs_oligos_6nt_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
oligos_6nt_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m3/peak-motifs_oligos_6nt_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  EBF1, </br>
oligos_6nt_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m4/peak-motifs_oligos_6nt_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  SP2, </br>
oligos_6nt_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m5/peak-motifs_oligos_6nt_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  SP1, SP2, </br>
oligos_7nt_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m1/peak-motifs_oligos_7nt_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  TFAP2C, TFAP2A, TFAP2A, </br>
oligos_7nt_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m2/peak-motifs_oligos_7nt_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  TFAP2C, TFAP2A, </br>
oligos_7nt_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m3/peak-motifs_oligos_7nt_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  SP1, SP2, SP1, </br>
oligos_7nt_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m4/peak-motifs_oligos_7nt_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  E2F3, EGR1, KLF5, </br>
oligos_7nt_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m5/peak-motifs_oligos_7nt_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  EGR2, Arnt::Ahr, </br>
dyads_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m1/peak-motifs_dyads_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  TFAP2A, Zfx, TFAP2C, </br>
dyads_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m2/peak-motifs_dyads_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  KLF5, SP1, SP2, </br>
dyads_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m3/peak-motifs_dyads_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  TFAP2A, </br>
dyads_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m4/peak-motifs_dyads_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m5/peak-motifs_dyads_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
