#start_time       	done_time        	elapsed	seconds	task	prefix	file
2014-10-07.150336	2014-10-07.150353	NA	16.49	1nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2014_10_07.150334	2014_10_07.150334	0	NA	1nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2014-10-07.150355	2014-10-07.150414	NA	19.6	2nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2014_10_07.150335	2014_10_07.150335	0	NA	2nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2014-10-07.150426	2014-10-07.150446	NA	20.33	1nt_ctrl_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_1nt_ci20.tab
2014_10_07.150424	2014_10_07.150424	0	NA	1nt_ctrl_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_ctrl_freq-1str-ovlp_1nt.tab
2014-10-07.150448	2014-10-07.150512	NA	23.57	2nt_ctrl_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_2nt_ci20.tab
2014_10_07.150424	2014_10_07.150424	0	NA	2nt_ctrl_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/composition/peak-motifs_ctrl_freq-1str-ovlp_2nt.tab
2014-10-07.150533	2014-10-07.150608	NA	0.22	oligos_6nt_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl_pssm_log.txt
2014-10-07.150531	2014-10-07.150533	NA	1.54	oligos_6nt_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl.tab
2014-10-07.150611	2014-10-07.150634	NA	0.23	oligos_7nt_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl_pssm_log.txt
2014-10-07.150608	2014-10-07.150611	NA	2.9	oligos_7nt_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl.tab
2014-10-07.150659	2014-10-07.150803	NA	0.23	dyads_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/dyads_test_vs_ctrl/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads_pssm_log.txt
2014-10-07.150634	2014-10-07.150659	NA	21.48	dyads_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/dyads_test_vs_ctrl/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads.tab
2014-10-07.150809	2014-10-07.150823	NA	2.26	motifs_disco_compa	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
2014-10-07.150933	2014-10-07.151025	NA	31.39	motifs_vs_db_jaspar_core_vertebrates	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.150329_2014-10-07.150329_sPZtpE/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_vertebrates.tab
