#start_time       	done_time        	elapsed	seconds	task	prefix	file
2014-10-08.083944	2014-10-08.084001	NA	17.07	1nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2014_10_08.083942	2014_10_08.083942	0	NA	1nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2014-10-08.084003	2014-10-08.084022	NA	18.31	2nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2014_10_08.083943	2014_10_08.083943	0	NA	2nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2014-10-08.084258	2014-10-08.084305	NA	0.22	positions_6nt_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2014-10-08.084227	2014-10-08.084256	NA	28.85	positions_6nt	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
2014-10-08.084346	2014-10-08.084356	NA	0.23	positions_7nt_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50_pssm_log.txt
2014-10-08.084306	2014-10-08.084344	NA	38.73	positions_7nt	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_7nt/peak-motifs_positions-2str-noov_7nt_ci50.tab
2014-10-08.084145	2014-10-08.084227	NA	0.22	dyads_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/dyads/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads_pssm_log.txt
2014-10-08.084125	2014-10-08.084145	NA	17.2	dyads	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/dyads/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads.tab
2014-10-08.084403	2014-10-08.084406	NA	1.21	motifs_disco_compa	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
2014-10-08.084503	2014-10-08.084539	NA	26.69	motifs_vs_db_jaspar_core_vertebrates	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_vertebrates.tab
2014-10-08.083944	2014-10-08.084001	NA	17.07	1nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2014_10_08.083942	2014_10_08.083942	0	NA	1nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2014-10-08.084003	2014-10-08.084022	NA	18.31	2nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2014_10_08.083943	2014_10_08.083943	0	NA	2nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2014-10-08.084030	2014-10-08.084055	NA	0.22	oligos_6nt_mkv4_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/oligos_6nt_mkv4/peak-motifs_oligos-2str-noov_6nt_mkv4_pssm_log.txt
2014-10-08.084028	2014-10-08.084030	NA	1.57	oligos_6nt_mkv4	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/oligos_6nt_mkv4/peak-motifs_oligos-2str-noov_6nt_mkv4.tab
2014-10-08.084258	2014-10-08.084305	NA	0.22	positions_6nt_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50_pssm_log.txt
2014-10-08.084227	2014-10-08.084256	NA	28.85	positions_6nt	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/positions_6nt/peak-motifs_positions-2str-noov_6nt_ci50.tab
