; classfreq  -v 1 -ci 1 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m1/peak-motifs_dyads_m1_sites_per_peak.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
1	2	1.5	228	228	358	0.63687	0.63687	1.00000
2	3	2.5	69	297	130	0.19274	0.82961	0.36313
3	4	3.5	18	315	61	0.05028	0.87989	0.17039
4	5	4.5	10	325	43	0.02793	0.90782	0.12011
5	6	5.5	7	332	33	0.01955	0.92737	0.09218
6	7	6.5	8	340	26	0.02235	0.94972	0.07263
7	8	7.5	5	345	18	0.01397	0.96369	0.05028
8	9	8.5	2	347	13	0.00559	0.96927	0.03631
9	10	9.5	2	349	11	0.00559	0.97486	0.03073
10	11	10.5	0	349	9	0.00000	0.97486	0.02514
11	12	11.5	3	352	9	0.00838	0.98324	0.02514
12	13	12.5	0	352	6	0.00000	0.98324	0.01676
13	14	13.5	0	352	6	0.00000	0.98324	0.01676
14	15	14.5	0	352	6	0.00000	0.98324	0.01676
15	16	15.5	0	352	6	0.00000	0.98324	0.01676
16	17	16.5	2	354	6	0.00559	0.98883	0.01676
17	18	17.5	1	355	4	0.00279	0.99162	0.01117
18	19	18.5	0	355	3	0.00000	0.99162	0.00838
19	20	19.5	0	355	3	0.00000	0.99162	0.00838
20	21	20.5	1	356	3	0.00279	0.99441	0.00838
21	22	21.5	0	356	2	0.00000	0.99441	0.00559
22	23	22.5	0	356	2	0.00000	0.99441	0.00559
23	24	23.5	0	356	2	0.00000	0.99441	0.00559
24	25	24.5	0	356	2	0.00000	0.99441	0.00559
25	26	25.5	0	356	2	0.00000	0.99441	0.00559
26	27	26.5	0	356	2	0.00000	0.99441	0.00559
27	28	27.5	0	356	2	0.00000	0.99441	0.00559
28	29	28.5	1	357	2	0.00279	0.99721	0.00559
29	30	29.5	0	357	1	0.00000	0.99721	0.00279
30	31	30.5	0	357	1	0.00000	0.99721	0.00279
31	32	31.5	0	357	1	0.00000	0.99721	0.00279
32	33	32.5	0	357	1	0.00000	0.99721	0.00279
33	34	33.5	0	357	1	0.00000	0.99721	0.00279
34	35	34.5	1	358	1	0.00279	1.00000	0.00279
; Statistics:
; -----------
; class interval     	1
; classes            	34
; count              	358
; sum                	776
; mean               	2.1676
; median class       	[2..3[
; var                	10.2
; std                	3.19127
; min                	1
; max                	34
; range              	33
; Host name	biow
; Job started	2014-10-08.084739
; Job done	2014-10-08.084739
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
