; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-260	-240	-250	1	1	893	0.00112	0.00112	1.00000
-240	-220	-230	3	4	892	0.00336	0.00448	0.99888
-220	-200	-210	5	9	889	0.00560	0.01008	0.99552
-200	-180	-190	8	17	884	0.00896	0.01904	0.98992
-180	-160	-170	19	36	876	0.02128	0.04031	0.98096
-160	-140	-150	17	53	857	0.01904	0.05935	0.95969
-140	-120	-130	28	81	840	0.03135	0.09071	0.94065
-120	-100	-110	36	117	812	0.04031	0.13102	0.90929
-100	-80	-90	65	182	776	0.07279	0.20381	0.86898
-80	-60	-70	59	241	711	0.06607	0.26988	0.79619
-60	-40	-50	64	305	652	0.07167	0.34155	0.73012
-40	-20	-30	79	384	588	0.08847	0.43001	0.65845
-20	0	-10	93	477	509	0.10414	0.53415	0.56999
0	20	10	108	585	416	0.12094	0.65510	0.46585
20	40	30	69	654	308	0.07727	0.73236	0.34490
40	60	50	63	717	239	0.07055	0.80291	0.26764
60	80	70	30	747	176	0.03359	0.83651	0.19709
80	100	90	36	783	146	0.04031	0.87682	0.16349
100	120	110	34	817	110	0.03807	0.91489	0.12318
120	140	130	21	838	76	0.02352	0.93841	0.08511
140	160	150	21	859	55	0.02352	0.96193	0.06159
160	180	170	10	869	34	0.01120	0.97312	0.03807
180	200	190	11	880	24	0.01232	0.98544	0.02688
200	220	210	3	883	13	0.00336	0.98880	0.01456
220	240	230	1	884	10	0.00112	0.98992	0.01120
240	260	250	3	887	9	0.00336	0.99328	0.01008
260	280	270	1	888	6	0.00112	0.99440	0.00672
280	300	290	0	888	5	0.00000	0.99440	0.00560
300	320	310	0	888	5	0.00000	0.99440	0.00560
320	340	330	0	888	5	0.00000	0.99440	0.00560
340	360	350	1	889	5	0.00112	0.99552	0.00560
360	380	370	0	889	4	0.00000	0.99552	0.00448
380	400	390	0	889	4	0.00000	0.99552	0.00448
400	420	410	0	889	4	0.00000	0.99552	0.00448
420	440	430	2	891	4	0.00224	0.99776	0.00448
440	460	450	2	893	2	0.00224	1.00000	0.00224
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	893
; sum                	-4855
; mean               	-5.43673
; median class       	[-40..-20[
; var                	8.44e+03
; std                	91.8752
; min                	-241
; max                	449
; range              	690
; Host name	biow
; Job started	2014-10-08.084750
; Job done	2014-10-08.084750
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
