; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29701
;		c	0.20351
;		g	0.20377
;		t	0.29571
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m4	17	4	1	-39.200	17.800	57.000	a:0.297 c:0.204 g:0.204 t:0.296 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m4	-5.0	1599	2479040	58664	2.311697e-02	1.241432e-02	31503.86	0.000000e+00	0.000000e+00	350.00	1
dyads_m4	-4.9	1774	2480814	56890	2.241791e-02	1.190770e-02	30218.19	0.000000e+00	0.000000e+00	350.00	2
dyads_m4	-4.8	1550	2482364	55340	2.180712e-02	1.150680e-02	29200.85	0.000000e+00	0.000000e+00	350.00	3
dyads_m4	-4.7	1527	2483891	53813	2.120540e-02	1.103247e-02	27997.13	0.000000e+00	0.000000e+00	350.00	4
dyads_m4	-4.6	1659	2485550	52154	2.055166e-02	1.061602e-02	26940.31	0.000000e+00	0.000000e+00	350.00	5
dyads_m4	-4.5	1473	2487023	50681	1.997121e-02	1.025325e-02	26019.71	0.000000e+00	0.000000e+00	350.00	6
dyads_m4	-4.4	1358	2488381	49323	1.943608e-02	9.824501e-03	24931.67	0.000000e+00	0.000000e+00	350.00	7
dyads_m4	-4.3	1342	2489723	47981	1.890726e-02	9.485617e-03	24071.68	0.000000e+00	0.000000e+00	350.00	8
dyads_m4	-4.2	1348	2491071	46633	1.837607e-02	9.121444e-03	23147.52	0.000000e+00	0.000000e+00	350.00	9
dyads_m4	-4.1	1431	2492502	45202	1.781217e-02	8.734725e-03	22166.14	0.000000e+00	0.000000e+00	350.00	10
dyads_m4	-4.0	1179	2493681	44023	1.734758e-02	8.429220e-03	21390.86	0.000000e+00	0.000000e+00	350.00	11
dyads_m4	-3.9	1261	2494942	42762	1.685067e-02	8.068907e-03	20476.49	0.000000e+00	0.000000e+00	350.00	12
dyads_m4	-3.8	1171	2496113	41591	1.638923e-02	7.753129e-03	19675.14	0.000000e+00	0.000000e+00	350.00	13
dyads_m4	-3.7	1162	2497275	40429	1.593134e-02	7.448303e-03	18901.58	0.000000e+00	0.000000e+00	350.00	14
dyads_m4	-3.6	1305	2498580	39124	1.541709e-02	7.183169e-03	18228.75	0.000000e+00	0.000000e+00	350.00	15
