; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29701
;		c	0.20351
;		g	0.20377
;		t	0.29571
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name              	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_7nt_mkv5_m2	11	4	1	-39.100	11.500	50.600	a:0.297 c:0.204 g:0.204 t:0.296 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_7nt_mkv5_m2	-5.0	1585	2562890	53114	2.030349e-02	1.528746e-02	39992.04	0.000000e+00	0.000000e+00	350.00	1
oligos_7nt_mkv5_m2	-4.9	1417	2564307	51697	1.976183e-02	1.475135e-02	38589.58	0.000000e+00	0.000000e+00	350.00	2
oligos_7nt_mkv5_m2	-4.8	1521	2565828	50176	1.918041e-02	1.433053e-02	37488.70	0.000000e+00	0.000000e+00	350.00	3
oligos_7nt_mkv5_m2	-4.7	1305	2567133	48871	1.868155e-02	1.384172e-02	36209.99	0.000000e+00	0.000000e+00	350.00	4
oligos_7nt_mkv5_m2	-4.6	1433	2568566	47438	1.813377e-02	1.338711e-02	35020.73	0.000000e+00	0.000000e+00	350.00	5
oligos_7nt_mkv5_m2	-4.5	1372	2569938	46066	1.760931e-02	1.298142e-02	33959.44	0.000000e+00	0.000000e+00	350.00	6
oligos_7nt_mkv5_m2	-4.4	1191	2571129	44875	1.715403e-02	1.249973e-02	32699.34	0.000000e+00	0.000000e+00	350.00	7
oligos_7nt_mkv5_m2	-4.3	1244	2572373	43631	1.667850e-02	1.213490e-02	31744.92	0.000000e+00	0.000000e+00	350.00	8
oligos_7nt_mkv5_m2	-4.2	1196	2573569	42435	1.622131e-02	1.172789e-02	30680.19	0.000000e+00	0.000000e+00	350.00	9
oligos_7nt_mkv5_m2	-4.1	1219	2574788	41216	1.575533e-02	1.131934e-02	29611.43	0.000000e+00	0.000000e+00	350.00	10
oligos_7nt_mkv5_m2	-4.0	1147	2575935	40069	1.531688e-02	1.097336e-02	28706.34	0.000000e+00	0.000000e+00	350.00	11
oligos_7nt_mkv5_m2	-3.9	1059	2576994	39010	1.491206e-02	1.057354e-02	27660.40	0.000000e+00	0.000000e+00	350.00	12
oligos_7nt_mkv5_m2	-3.8	1428	2578422	37582	1.436619e-02	1.020641e-02	26700.00	0.000000e+00	0.000000e+00	350.00	13
oligos_7nt_mkv5_m2	-3.7	983	2579405	36599	1.399043e-02	9.854418e-03	25779.19	0.000000e+00	0.000000e+00	350.00	14
oligos_7nt_mkv5_m2	-3.6	1021	2580426	35578	1.360014e-02	9.566322e-03	25025.53	0.000000e+00	0.000000e+00	350.00	15
