; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	1116	0.00090	0.00090	1.00000
-340	-320	-330	1	2	1115	0.00090	0.00179	0.99910
-320	-300	-310	1	3	1114	0.00090	0.00269	0.99821
-300	-280	-290	1	4	1113	0.00090	0.00358	0.99731
-280	-260	-270	2	6	1112	0.00179	0.00538	0.99642
-260	-240	-250	2	8	1110	0.00179	0.00717	0.99462
-240	-220	-230	3	11	1108	0.00269	0.00986	0.99283
-220	-200	-210	5	16	1105	0.00448	0.01434	0.99014
-200	-180	-190	8	24	1100	0.00717	0.02151	0.98566
-180	-160	-170	12	36	1092	0.01075	0.03226	0.97849
-160	-140	-150	20	56	1080	0.01792	0.05018	0.96774
-140	-120	-130	19	75	1060	0.01703	0.06720	0.94982
-120	-100	-110	44	119	1041	0.03943	0.10663	0.93280
-100	-80	-90	52	171	997	0.04659	0.15323	0.89337
-80	-60	-70	69	240	945	0.06183	0.21505	0.84677
-60	-40	-50	100	340	876	0.08961	0.30466	0.78495
-40	-20	-30	113	453	776	0.10125	0.40591	0.69534
-20	0	-10	106	559	663	0.09498	0.50090	0.59409
0	20	10	111	670	557	0.09946	0.60036	0.49910
20	40	30	116	786	446	0.10394	0.70430	0.39964
40	60	50	77	863	330	0.06900	0.77330	0.29570
60	80	70	69	932	253	0.06183	0.83513	0.22670
80	100	90	51	983	184	0.04570	0.88082	0.16487
100	120	110	45	1028	133	0.04032	0.92115	0.11918
120	140	130	32	1060	88	0.02867	0.94982	0.07885
140	160	150	17	1077	56	0.01523	0.96505	0.05018
160	180	170	14	1091	39	0.01254	0.97760	0.03495
180	200	190	7	1098	25	0.00627	0.98387	0.02240
200	220	210	6	1104	18	0.00538	0.98925	0.01613
220	240	230	4	1108	12	0.00358	0.99283	0.01075
240	260	250	1	1109	8	0.00090	0.99373	0.00717
260	280	270	4	1113	7	0.00358	0.99731	0.00627
280	300	290	0	1113	3	0.00000	0.99731	0.00269
300	320	310	2	1115	3	0.00179	0.99910	0.00269
320	340	330	1	1116	1	0.00090	1.00000	0.00090
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	1116
; sum                	331
; mean               	0.296595
; median class       	[-40..-20[
; var                	7.54e+03
; std                	86.8064
; min                	-342
; max                	332
; range              	674
; Host name	biow
; Job started	2014-10-08.084643
; Job done	2014-10-08.084643
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
