; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29701
;		c	0.20351
;		g	0.20377
;		t	0.29571
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name         	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_6nt	10	4	1	-19.500	12.800	32.300	a:0.297 c:0.204 g:0.204 t:0.296 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_6nt	-5.0	4089	2529245	99809	3.796424e-02	3.185145e-02	83738.32	0.000000e+00	0.000000e+00	350.00	1
positions_6nt	-4.9	4467	2533712	95342	3.626513e-02	2.974342e-02	78196.25	0.000000e+00	0.000000e+00	350.00	2
positions_6nt	-4.8	4090	2537802	91252	3.470942e-02	2.785801e-02	73239.46	0.000000e+00	0.000000e+00	350.00	3
positions_6nt	-4.7	3411	2541213	87841	3.341198e-02	2.566974e-02	67486.45	0.000000e+00	0.000000e+00	350.00	4
positions_6nt	-4.6	2906	2544119	84935	3.230663e-02	2.391442e-02	62871.66	0.000000e+00	0.000000e+00	350.00	5
positions_6nt	-4.5	2499	2546618	82436	3.135609e-02	2.256658e-02	59328.15	0.000000e+00	0.000000e+00	350.00	6
positions_6nt	-4.4	1698	2548316	80738	3.071022e-02	2.129375e-02	55981.85	0.000000e+00	0.000000e+00	350.00	7
positions_6nt	-4.3	1284	2549600	79454	3.022183e-02	2.045346e-02	53772.71	0.000000e+00	0.000000e+00	350.00	8
positions_6nt	-4.2	838	2550438	78616	2.990308e-02	1.976762e-02	51969.60	0.000000e+00	0.000000e+00	350.00	9
positions_6nt	-4.1	1121	2551559	77495	2.947668e-02	1.925109e-02	50611.64	0.000000e+00	0.000000e+00	350.00	10
positions_6nt	-4.0	2316	2553875	75179	2.859575e-02	1.898616e-02	49915.12	0.000000e+00	0.000000e+00	350.00	11
positions_6nt	-3.9	1019	2554894	74160	2.820815e-02	1.862377e-02	48962.39	0.000000e+00	0.000000e+00	350.00	12
positions_6nt	-3.8	2808	2557702	71352	2.714008e-02	1.826062e-02	48007.66	0.000000e+00	0.000000e+00	350.00	13
positions_6nt	-3.7	3692	2561394	67660	2.573576e-02	1.782019e-02	46849.75	0.000000e+00	0.000000e+00	350.00	14
positions_6nt	-3.6	4794	2566188	62866	2.391227e-02	1.708199e-02	44909.01	0.000000e+00	0.000000e+00	350.00	15
positions_6nt	-3.5	3336	2569524	59530	2.264336e-02	1.605497e-02	42208.96	0.000000e+00	0.000000e+00	350.00	16
