; classfreq  -v 1 -ci 1 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_6nt/peak-motifs_positions_6nt_sites_per_peak.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
2	3	2.5	44	44	94	0.46809	0.46809	1.00000
3	4	3.5	0	44	50	0.00000	0.46809	0.53191
4	5	4.5	28	72	50	0.29787	0.76596	0.53191
5	6	5.5	0	72	22	0.00000	0.76596	0.23404
6	7	6.5	10	82	22	0.10638	0.87234	0.23404
7	8	7.5	0	82	12	0.00000	0.87234	0.12766
8	9	8.5	3	85	12	0.03191	0.90426	0.12766
9	10	9.5	0	85	9	0.00000	0.90426	0.09574
10	11	10.5	2	87	9	0.02128	0.92553	0.09574
11	12	11.5	0	87	7	0.00000	0.92553	0.07447
12	13	12.5	1	88	7	0.01064	0.93617	0.07447
13	14	13.5	0	88	6	0.00000	0.93617	0.06383
14	15	14.5	3	91	6	0.03191	0.96809	0.06383
15	16	15.5	0	91	3	0.00000	0.96809	0.03191
16	17	16.5	2	93	3	0.02128	0.98936	0.03191
17	18	17.5	0	93	1	0.00000	0.98936	0.01064
18	19	18.5	0	93	1	0.00000	0.98936	0.01064
19	20	19.5	0	93	1	0.00000	0.98936	0.01064
20	21	20.5	0	93	1	0.00000	0.98936	0.01064
21	22	21.5	0	93	1	0.00000	0.98936	0.01064
22	23	22.5	0	93	1	0.00000	0.98936	0.01064
23	24	23.5	0	93	1	0.00000	0.98936	0.01064
24	25	24.5	0	93	1	0.00000	0.98936	0.01064
25	26	25.5	0	93	1	0.00000	0.98936	0.01064
26	27	26.5	0	93	1	0.00000	0.98936	0.01064
27	28	27.5	0	93	1	0.00000	0.98936	0.01064
28	29	28.5	0	93	1	0.00000	0.98936	0.01064
29	30	29.5	0	93	1	0.00000	0.98936	0.01064
30	31	30.5	0	93	1	0.00000	0.98936	0.01064
31	32	31.5	0	93	1	0.00000	0.98936	0.01064
32	33	32.5	0	93	1	0.00000	0.98936	0.01064
33	34	33.5	0	93	1	0.00000	0.98936	0.01064
34	35	34.5	1	94	1	0.01064	1.00000	0.01064
; Statistics:
; -----------
; class interval     	1
; classes            	33
; count              	94
; sum                	424
; mean               	4.51064
; median class       	[3..4[
; var                	19.8
; std                	4.45245
; min                	2
; max                	34
; range              	32
; Host name	biow
; Job started	2014-10-08.084627
; Job done	2014-10-08.084627
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
