; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29701
;		c	0.20351
;		g	0.20377
;		t	0.29571
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_7nt_m2	11	4	1	-29.800	8.600	38.400	a:0.297 c:0.204 g:0.204 t:0.296 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_7nt_m2	-5.0	4653	2361982	254022	9.710499e-02	6.198729e-02	162155.77	0.000000e+00	0.000000e+00	350.00	1
positions_7nt_m2	-4.9	5520	2367502	248502	9.499486e-02	6.065741e-02	158676.88	0.000000e+00	0.000000e+00	350.00	2
positions_7nt_m2	-4.8	7067	2374569	241435	9.229336e-02	5.915957e-02	154758.59	0.000000e+00	0.000000e+00	350.00	3
positions_7nt_m2	-4.7	7634	2382203	233801	8.937511e-02	5.687893e-02	148792.55	0.000000e+00	0.000000e+00	350.00	4
positions_7nt_m2	-4.6	8080	2390283	225721	8.628637e-02	5.450964e-02	142594.60	0.000000e+00	0.000000e+00	350.00	5
positions_7nt_m2	-4.5	9260	2399543	216461	8.274655e-02	5.214310e-02	136403.85	0.000000e+00	0.000000e+00	350.00	6
positions_7nt_m2	-4.4	8800	2408343	207661	7.938257e-02	4.892489e-02	127985.17	0.000000e+00	0.000000e+00	350.00	7
positions_7nt_m2	-4.3	7571	2415914	200090	7.648841e-02	4.643562e-02	121473.34	0.000000e+00	0.000000e+00	350.00	8
positions_7nt_m2	-4.2	7452	2423366	192638	7.363973e-02	4.387481e-02	114774.41	0.000000e+00	0.000000e+00	350.00	9
positions_7nt_m2	-4.1	5708	2429074	186930	7.145773e-02	4.129493e-02	108025.55	0.000000e+00	0.000000e+00	350.00	10
positions_7nt_m2	-4.0	4373	2433447	182557	6.978607e-02	3.940666e-02	103085.93	0.000000e+00	0.000000e+00	350.00	11
positions_7nt_m2	-3.9	3938	2437385	178619	6.828069e-02	3.771562e-02	98662.26	0.000000e+00	0.000000e+00	350.00	12
positions_7nt_m2	-3.8	3074	2440459	175545	6.710559e-02	3.645048e-02	95352.72	0.000000e+00	0.000000e+00	350.00	13
positions_7nt_m2	-3.7	2352	2442811	173193	6.620649e-02	3.546076e-02	92763.65	0.000000e+00	0.000000e+00	350.00	14
positions_7nt_m2	-3.6	1807	2444618	171386	6.551573e-02	3.480502e-02	91048.26	0.000000e+00	0.000000e+00	350.00	15
positions_7nt_m2	-3.5	1852	2446470	169534	6.480776e-02	3.416271e-02	89368.00	0.000000e+00	0.000000e+00	350.00	16
positions_7nt_m2	-3.4	1930	2448400	167604	6.406998e-02	3.356094e-02	87793.81	0.000000e+00	0.000000e+00	350.00	17
positions_7nt_m2	-3.3	3545	2451945	164059	6.271484e-02	3.291339e-02	86099.84	0.000000e+00	0.000000e+00	350.00	18
positions_7nt_m2	-3.2	4025	2455970	160034	6.117620e-02	3.219152e-02	84211.46	0.000000e+00	0.000000e+00	350.00	19
positions_7nt_m2	-3.1	5738	2461708	154296	5.898273e-02	3.120903e-02	81641.32	0.000000e+00	0.000000e+00	350.00	20
positions_7nt_m2	-3.0	7808	2469516	146488	5.599797e-02	2.994055e-02	78323.04	0.000000e+00	0.000000e+00	350.00	21
positions_7nt_m2	-2.9	7256	2476772	139232	5.322422e-02	2.817315e-02	73699.60	0.000000e+00	0.000000e+00	350.00	22
positions_7nt_m2	-2.8	9634	2486406	129598	4.954143e-02	2.638797e-02	69029.65	0.000000e+00	0.000000e+00	350.00	23
positions_7nt_m2	-2.7	8972	2495378	120626	4.611170e-02	2.452895e-02	64166.56	0.000000e+00	0.000000e+00	350.00	24
positions_7nt_m2	-2.6	6631	2502009	113995	4.357687e-02	2.288577e-02	59868.07	0.000000e+00	0.000000e+00	350.00	25
positions_7nt_m2	-2.5	5111	2507120	108884	4.162309e-02	2.123498e-02	55549.68	0.000000e+00	0.000000e+00	350.00	26
positions_7nt_m2	-2.4	4108	2511228	104776	4.005272e-02	1.978609e-02	51759.47	0.000000e+00	0.000000e+00	350.00	27
positions_7nt_m2	-2.3	2685	2513913	102091	3.902633e-02	1.870512e-02	48931.68	0.000000e+00	0.000000e+00	350.00	28
positions_7nt_m2	-2.2	1500	2515413	100591	3.845292e-02	1.803528e-02	47179.44	0.000000e+00	0.000000e+00	350.00	29
positions_7nt_m2	-2.1	1069	2516482	99522	3.804428e-02	1.753167e-02	45862.02	0.000000e+00	0.000000e+00	350.00	30
positions_7nt_m2	-2.0	1052	2517534	98470	3.764213e-02	1.716700e-02	44908.06	0.000000e+00	0.000000e+00	350.00	31
positions_7nt_m2	-1.9	1168	2518702	97302	3.719564e-02	1.687658e-02	44148.31	0.000000e+00	0.000000e+00	350.00	32
positions_7nt_m2	-1.8	1394	2520096	95908	3.666275e-02	1.658562e-02	43387.19	0.000000e+00	0.000000e+00	350.00	33
positions_7nt_m2	-1.7	1432	2521528	94476	3.611534e-02	1.627714e-02	42580.22	0.000000e+00	0.000000e+00	350.00	34
positions_7nt_m2	-1.6	2873	2524401	91603	3.501708e-02	1.595829e-02	41746.11	0.000000e+00	0.000000e+00	350.00	35
positions_7nt_m2	-1.5	2987	2527388	88616	3.387524e-02	1.541939e-02	40336.38	0.000000e+00	0.000000e+00	350.00	36
positions_7nt_m2	-1.4	3359	2530747	85257	3.259119e-02	1.484294e-02	38828.43	0.000000e+00	0.000000e+00	350.00	37
positions_7nt_m2	-1.3	4172	2534919	81085	3.099636e-02	1.403459e-02	36713.80	0.000000e+00	0.000000e+00	350.00	38
positions_7nt_m2	-1.2	4361	2539280	76724	2.932928e-02	1.328564e-02	34754.59	0.000000e+00	0.000000e+00	350.00	39
positions_7nt_m2	-1.1	4341	2543621	72383	2.766985e-02	1.234687e-02	32298.83	0.000000e+00	0.000000e+00	350.00	40
positions_7nt_m2	-1.0	4271	2547892	68112	2.603717e-02	1.137208e-02	29748.81	0.000000e+00	0.000000e+00	350.00	41
positions_7nt_m2	-0.9	3541	2551433	64571	2.468356e-02	1.064708e-02	27852.24	0.000000e+00	0.000000e+00	350.00	42
positions_7nt_m2	-0.8	3041	2554474	61530	2.352107e-02	9.847145e-03	25759.66	0.000000e+00	0.000000e+00	350.00	43
positions_7nt_m2	-0.7	2394	2556868	59136	2.260592e-02	9.061058e-03	23703.29	0.000000e+00	0.000000e+00	350.00	44
positions_7nt_m2	-0.6	2318	2559186	56818	2.171982e-02	8.548352e-03	22362.08	0.000000e+00	0.000000e+00	350.00	45
positions_7nt_m2	-0.5	1649	2560835	55169	2.108945e-02	8.079601e-03	21135.85	0.000000e+00	0.000000e+00	350.00	46
positions_7nt_m2	-0.4	1150	2561985	54019	2.064984e-02	7.700593e-03	20144.38	0.000000e+00	0.000000e+00	350.00	47
positions_7nt_m2	-0.3	970	2562955	53049	2.027904e-02	7.474771e-03	19553.64	0.000000e+00	0.000000e+00	350.00	48
positions_7nt_m2	-0.2	1137	2564092	51912	1.984440e-02	7.278932e-03	19041.34	0.000000e+00	0.000000e+00	350.00	49
positions_7nt_m2	-0.1	864	2564956	51048	1.951412e-02	7.096649e-03	18564.49	0.000000e+00	0.000000e+00	350.00	50
positions_7nt_m2	0.0	773	2565729	50275	1.921862e-02	6.928785e-03	18125.37	0.000000e+00	0.000000e+00	350.00	51
positions_7nt_m2	0.1	1250	2566979	49025	1.874079e-02	6.744517e-03	17643.33	0.000000e+00	0.000000e+00	350.00	52
positions_7nt_m2	0.2	1546	2568525	47479	1.814980e-02	6.490229e-03	16978.13	0.000000e+00	0.000000e+00	350.00	53
positions_7nt_m2	0.3	2253	2570778	45226	1.728854e-02	6.158222e-03	16109.61	0.000000e+00	0.000000e+00	350.00	54
positions_7nt_m2	0.4	2460	2573238	42766	1.634816e-02	5.759569e-03	15066.76	0.000000e+00	0.000000e+00	350.00	55
positions_7nt_m2	0.5	2037	2575275	40729	1.556948e-02	5.431754e-03	14209.21	0.000000e+00	0.000000e+00	350.00	56
positions_7nt_m2	0.6	2208	2577483	38521	1.472542e-02	5.005154e-03	13093.24	0.000000e+00	0.000000e+00	350.00	57
positions_7nt_m2	0.7	2197	2579680	36324	1.388558e-02	4.581938e-03	11986.13	0.000000e+00	0.000000e+00	350.00	58
positions_7nt_m2	0.8	1144	2580824	35180	1.344826e-02	4.230153e-03	11065.88	0.000000e+00	0.000000e+00	350.00	59
positions_7nt_m2	0.9	1070	2581894	34110	1.303923e-02	3.915273e-03	10242.17	0.000000e+00	0.000000e+00	350.00	60
positions_7nt_m2	1.0	969	2582863	33141	1.266881e-02	3.714336e-03	9716.53	0.000000e+00	0.000000e+00	350.00	61
positions_7nt_m2	1.1	623	2583486	32518	1.243066e-02	3.551436e-03	9290.39	0.000000e+00	0.000000e+00	350.00	62
positions_7nt_m2	1.2	567	2584053	31951	1.221391e-02	3.403077e-03	8902.29	0.000000e+00	0.000000e+00	350.00	63
positions_7nt_m2	1.3	596	2584649	31355	1.198608e-02	3.305840e-03	8647.92	0.000000e+00	0.000000e+00	350.00	64
positions_7nt_m2	1.4	516	2585165	30839	1.178882e-02	3.219759e-03	8422.73	0.000000e+00	0.000000e+00	350.00	65
positions_7nt_m2	1.5	479	2585644	30360	1.160572e-02	3.129579e-03	8186.83	0.000000e+00	0.000000e+00	350.00	66
positions_7nt_m2	1.6	513	2586157	29847	1.140961e-02	3.066286e-03	8021.26	0.000000e+00	0.000000e+00	350.00	67
positions_7nt_m2	1.7	684	2586841	29163	1.114814e-02	2.977522e-03	7789.05	0.000000e+00	0.000000e+00	350.00	68
positions_7nt_m2	1.8	1055	2587896	28108	1.074485e-02	2.874391e-03	7519.27	0.000000e+00	0.000000e+00	350.00	69
positions_7nt_m2	1.9	1026	2588922	27082	1.035264e-02	2.738179e-03	7162.94	0.000000e+00	0.000000e+00	350.00	70
positions_7nt_m2	2.0	1504	2590426	25578	9.777702e-03	2.581496e-03	6753.07	0.000000e+00	0.000000e+00	350.00	71
positions_7nt_m2	2.1	2022	2592448	23556	9.004752e-03	2.403606e-03	6287.72	0.000000e+00	0.000000e+00	350.00	72
positions_7nt_m2	2.2	1833	2594281	21723	8.304051e-03	2.201331e-03	5758.58	0.000000e+00	0.000000e+00	350.00	73
positions_7nt_m2	2.3	1384	2595665	20339	7.774990e-03	1.995587e-03	5220.36	0.000000e+00	0.000000e+00	350.00	74
positions_7nt_m2	2.4	1426	2597091	18913	7.229873e-03	1.844964e-03	4826.34	0.000000e+00	0.000000e+00	350.00	75
positions_7nt_m2	2.5	1280	2598371	17633	6.740567e-03	1.657238e-03	4335.25	0.000000e+00	0.000000e+00	350.00	76
positions_7nt_m2	2.6	1140	2599511	16493	6.304779e-03	1.482134e-03	3877.19	0.000000e+00	0.000000e+00	350.00	77
positions_7nt_m2	2.7	749	2600260	15744	6.018459e-03	1.349983e-03	3531.49	0.000000e+00	0.000000e+00	350.00	78
positions_7nt_m2	2.8	574	2600834	15170	5.799036e-03	1.260451e-03	3297.28	0.000000e+00	0.000000e+00	350.00	79
positions_7nt_m2	2.9	425	2601259	14745	5.636571e-03	1.176567e-03	3077.84	0.000000e+00	0.000000e+00	350.00	80
positions_7nt_m2	3.0	234	2601493	14511	5.547120e-03	1.116462e-03	2920.61	0.000000e+00	0.000000e+00	350.00	81
positions_7nt_m2	3.1	148	2601641	14363	5.490544e-03	1.083708e-03	2834.93	0.000000e+00	0.000000e+00	350.00	82
positions_7nt_m2	3.2	244	2601885	14119	5.397270e-03	1.062514e-03	2779.48	0.000000e+00	0.000000e+00	350.00	83
positions_7nt_m2	3.3	220	2602105	13899	5.313171e-03	1.032123e-03	2699.98	0.000000e+00	0.000000e+00	350.00	84
positions_7nt_m2	3.4	293	2602398	13606	5.201166e-03	1.002036e-03	2621.28	0.000000e+00	0.000000e+00	350.00	85
positions_7nt_m2	3.5	310	2602708	13296	5.082662e-03	9.677284e-04	2531.53	0.000000e+00	0.000000e+00	350.00	86
positions_7nt_m2	3.6	544	2603252	12752	4.874707e-03	9.138094e-04	2390.48	0.000000e+00	0.000000e+00	350.00	87
positions_7nt_m2	3.7	518	2603770	12234	4.676691e-03	8.494788e-04	2222.20	0.000000e+00	0.000000e+00	350.00	88
positions_7nt_m2	3.8	510	2604280	11724	4.481734e-03	7.926165e-04	2073.45	0.000000e+00	0.000000e+00	350.00	89
positions_7nt_m2	3.9	469	2604749	11255	4.302449e-03	7.436362e-04	1945.32	0.000000e+00	0.000000e+00	350.00	90
positions_7nt_m2	4.0	399	2605148	10856	4.149923e-03	6.786228e-04	1775.24	0.000000e+00	0.000000e+00	350.00	91
positions_7nt_m2	4.1	473	2605621	10383	3.969110e-03	6.157473e-04	1610.77	0.000000e+00	0.000000e+00	350.00	92
positions_7nt_m2	4.2	593	2606214	9790	3.742423e-03	5.770419e-04	1509.51	0.000000e+00	0.000000e+00	350.00	93
positions_7nt_m2	4.3	544	2606758	9246	3.534469e-03	5.320589e-04	1391.84	0.000000e+00	0.000000e+00	350.00	94
positions_7nt_m2	4.4	446	2607204	8800	3.363976e-03	4.917551e-04	1286.41	0.000000e+00	0.000000e+00	350.00	95
positions_7nt_m2	4.5	241	2607445	8559	3.271849e-03	4.584747e-04	1199.35	0.000000e+00	0.000000e+00	350.00	96
positions_7nt_m2	4.6	340	2607785	8219	3.141877e-03	4.318300e-04	1129.65	0.000000e+00	0.000000e+00	350.00	97
positions_7nt_m2	4.7	239	2608024	7980	3.050515e-03	4.126981e-04	1079.60	0.000000e+00	0.000000e+00	350.00	98
