; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	2	2	2862	0.00070	0.00070	1.00000
-360	-340	-350	0	2	2860	0.00000	0.00070	0.99930
-340	-320	-330	12	14	2860	0.00419	0.00489	0.99930
-320	-300	-310	0	14	2848	0.00000	0.00489	0.99511
-300	-280	-290	0	14	2848	0.00000	0.00489	0.99511
-280	-260	-270	0	14	2848	0.00000	0.00489	0.99511
-260	-240	-250	0	14	2848	0.00000	0.00489	0.99511
-240	-220	-230	6	20	2848	0.00210	0.00699	0.99511
-220	-200	-210	2	22	2842	0.00070	0.00769	0.99301
-200	-180	-190	10	32	2840	0.00349	0.01118	0.99231
-180	-160	-170	14	46	2830	0.00489	0.01607	0.98882
-160	-140	-150	48	94	2816	0.01677	0.03284	0.98393
-140	-120	-130	82	176	2768	0.02865	0.06150	0.96716
-120	-100	-110	158	334	2686	0.05521	0.11670	0.93850
-100	-80	-90	173	507	2528	0.06045	0.17715	0.88330
-80	-60	-70	148	655	2355	0.05171	0.22886	0.82285
-60	-40	-50	204	859	2207	0.07128	0.30014	0.77114
-40	-20	-30	280	1139	2003	0.09783	0.39797	0.69986
-20	0	-10	343	1482	1723	0.11985	0.51782	0.60203
0	20	10	301	1783	1380	0.10517	0.62299	0.48218
20	40	30	217	2000	1079	0.07582	0.69881	0.37701
40	60	50	254	2254	862	0.08875	0.78756	0.30119
60	80	70	150	2404	608	0.05241	0.83997	0.21244
80	100	90	177	2581	458	0.06184	0.90182	0.16003
100	120	110	116	2697	281	0.04053	0.94235	0.09818
120	140	130	58	2755	165	0.02027	0.96261	0.05765
140	160	150	48	2803	107	0.01677	0.97939	0.03739
160	180	170	34	2837	59	0.01188	0.99126	0.02061
180	200	190	2	2839	25	0.00070	0.99196	0.00874
200	220	210	0	2839	23	0.00000	0.99196	0.00804
220	240	230	21	2860	23	0.00734	0.99930	0.00804
240	260	250	2	2862	2	0.00070	1.00000	0.00070
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	2862
; sum                	-8270
; mean               	-2.88959
; median class       	[-40..-20[
; var                	6.56e+03
; std                	80.9878
; min                	-363
; max                	248
; range              	611
; Host name	biow
; Job started	2014-10-08.084727
; Job done	2014-10-08.084727
; Seconds	0.24
;	user	0.24
;	system	0.02
;	cuser	0
;	csystem	0
