; classfreq  -v 1 -ci 1 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_sites_per_peak.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
2	3	2.5	128	128	315	0.40635	0.40635	1.00000
3	4	3.5	1	129	187	0.00317	0.40952	0.59365
4	5	4.5	54	183	186	0.17143	0.58095	0.59048
5	6	5.5	0	183	132	0.00000	0.58095	0.41905
6	7	6.5	32	215	132	0.10159	0.68254	0.41905
7	8	7.5	1	216	100	0.00317	0.68571	0.31746
8	9	8.5	14	230	99	0.04444	0.73016	0.31429
9	10	9.5	2	232	85	0.00635	0.73651	0.26984
10	11	10.5	14	246	83	0.04444	0.78095	0.26349
11	12	11.5	2	248	69	0.00635	0.78730	0.21905
12	13	12.5	13	261	67	0.04127	0.82857	0.21270
13	14	13.5	1	262	54	0.00317	0.83175	0.17143
14	15	14.5	10	272	53	0.03175	0.86349	0.16825
15	16	15.5	0	272	43	0.00000	0.86349	0.13651
16	17	16.5	10	282	43	0.03175	0.89524	0.13651
17	18	17.5	0	282	33	0.00000	0.89524	0.10476
18	19	18.5	3	285	33	0.00952	0.90476	0.10476
19	20	19.5	1	286	30	0.00317	0.90794	0.09524
20	21	20.5	2	288	29	0.00635	0.91429	0.09206
21	22	21.5	0	288	27	0.00000	0.91429	0.08571
22	23	22.5	4	292	27	0.01270	0.92698	0.08571
23	24	23.5	0	292	23	0.00000	0.92698	0.07302
24	25	24.5	2	294	23	0.00635	0.93333	0.07302
25	26	25.5	0	294	21	0.00000	0.93333	0.06667
26	27	26.5	1	295	21	0.00317	0.93651	0.06667
27	28	27.5	0	295	20	0.00000	0.93651	0.06349
28	29	28.5	1	296	20	0.00317	0.93968	0.06349
29	30	29.5	0	296	19	0.00000	0.93968	0.06032
30	31	30.5	2	298	19	0.00635	0.94603	0.06032
31	32	31.5	0	298	17	0.00000	0.94603	0.05397
32	33	32.5	1	299	17	0.00317	0.94921	0.05397
33	34	33.5	0	299	16	0.00000	0.94921	0.05079
34	35	34.5	0	299	16	0.00000	0.94921	0.05079
35	36	35.5	0	299	16	0.00000	0.94921	0.05079
36	37	36.5	0	299	16	0.00000	0.94921	0.05079
37	38	37.5	0	299	16	0.00000	0.94921	0.05079
38	39	38.5	2	301	16	0.00635	0.95556	0.05079
39	40	39.5	0	301	14	0.00000	0.95556	0.04444
40	41	40.5	0	301	14	0.00000	0.95556	0.04444
41	42	41.5	0	301	14	0.00000	0.95556	0.04444
42	43	42.5	0	301	14	0.00000	0.95556	0.04444
43	44	43.5	0	301	14	0.00000	0.95556	0.04444
44	45	44.5	3	304	14	0.00952	0.96508	0.04444
45	46	45.5	1	305	11	0.00317	0.96825	0.03492
46	47	46.5	3	308	10	0.00952	0.97778	0.03175
47	48	47.5	0	308	7	0.00000	0.97778	0.02222
48	49	48.5	0	308	7	0.00000	0.97778	0.02222
49	50	49.5	0	308	7	0.00000	0.97778	0.02222
50	51	50.5	0	308	7	0.00000	0.97778	0.02222
51	52	51.5	0	308	7	0.00000	0.97778	0.02222
52	53	52.5	1	309	7	0.00317	0.98095	0.02222
53	54	53.5	0	309	6	0.00000	0.98095	0.01905
54	55	54.5	0	309	6	0.00000	0.98095	0.01905
55	56	55.5	0	309	6	0.00000	0.98095	0.01905
56	57	56.5	1	310	6	0.00317	0.98413	0.01905
57	58	57.5	0	310	5	0.00000	0.98413	0.01587
58	59	58.5	1	311	5	0.00317	0.98730	0.01587
59	60	59.5	0	311	4	0.00000	0.98730	0.01270
60	61	60.5	0	311	4	0.00000	0.98730	0.01270
61	62	61.5	0	311	4	0.00000	0.98730	0.01270
62	63	62.5	0	311	4	0.00000	0.98730	0.01270
63	64	63.5	0	311	4	0.00000	0.98730	0.01270
64	65	64.5	0	311	4	0.00000	0.98730	0.01270
65	66	65.5	0	311	4	0.00000	0.98730	0.01270
66	67	66.5	0	311	4	0.00000	0.98730	0.01270
67	68	67.5	0	311	4	0.00000	0.98730	0.01270
68	69	68.5	0	311	4	0.00000	0.98730	0.01270
69	70	69.5	0	311	4	0.00000	0.98730	0.01270
70	71	70.5	0	311	4	0.00000	0.98730	0.01270
71	72	71.5	0	311	4	0.00000	0.98730	0.01270
72	73	72.5	0	311	4	0.00000	0.98730	0.01270
