#Motif	Logo	3 Top hits in databases
oligos_6nt_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m1/peak-motifs_oligos_6nt_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  GATA2, </br>
oligos_6nt_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m2/peak-motifs_oligos_6nt_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  GATA2, </br>
oligos_6nt_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m3/peak-motifs_oligos_6nt_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  GATA2, </br>
oligos_6nt_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m4/peak-motifs_oligos_6nt_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
oligos_6nt_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_test_vs_ctrl_m5/peak-motifs_oligos_6nt_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
oligos_7nt_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m1/peak-motifs_oligos_7nt_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  GATA3, Gata1, GATA2, </br>
oligos_7nt_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m2/peak-motifs_oligos_7nt_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
oligos_7nt_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m3/peak-motifs_oligos_7nt_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  Gata1, GATA3, Gata1, </br>
oligos_7nt_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m4/peak-motifs_oligos_7nt_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  ARID3A, Crx, </br>
oligos_7nt_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_test_vs_ctrl_m5/peak-motifs_oligos_7nt_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m1	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m1/peak-motifs_dyads_test_vs_ctrl_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m2	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m2/peak-motifs_dyads_test_vs_ctrl_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m3	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m3/peak-motifs_dyads_test_vs_ctrl_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m4	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m4/peak-motifs_dyads_test_vs_ctrl_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
dyads_test_vs_ctrl_m5	<img border='1' height='50' src='results/discovered_motifs/dyads_test_vs_ctrl_m5/peak-motifs_dyads_test_vs_ctrl_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br>
