#start_time       	done_time        	elapsed	seconds	task	prefix	file
2014-10-08.082442	2014-10-08.082504	NA	21.38	1nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_test_profiles-1str-ovlp_1nt_ci20.tab
2014_10_08.082440	2014_10_08.082440	0	NA	1nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_test_freq-1str-ovlp_1nt.tab
2014-10-08.082506	2014-10-08.082529	NA	23.32	2nt_test_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_test_profiles-1str-ovlp_2nt_ci20.tab
2014_10_08.082441	2014_10_08.082441	0	NA	2nt_test_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_test_freq-1str-ovlp_2nt.tab
2014-10-08.082540	2014-10-08.082556	NA	16.54	1nt_ctrl_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_1nt_ci20.tab
2014_10_08.082538	2014_10_08.082538	0	NA	1nt_ctrl_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_ctrl_freq-1str-ovlp_1nt.tab
2014-10-08.082559	2014-10-08.082618	NA	19.78	2nt_ctrl_profiles	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_ctrl_profiles-1str-ovlp_2nt_ci20.tab
2014_10_08.082539	2014_10_08.082539	0	NA	2nt_ctrl_freq	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/composition/peak-motifs_ctrl_freq-1str-ovlp_2nt.tab
2014-10-08.082639	2014-10-08.082732	NA	0.23	oligos_6nt_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl_pssm_log.txt
2014-10-08.082637	2014-10-08.082639	NA	1.73	oligos_6nt_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/oligos_6nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_6nt_test_vs_ctrl.tab
2014-10-08.082736	2014-10-08.082804	NA	0.22	oligos_7nt_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl_pssm_log.txt
2014-10-08.082732	2014-10-08.082736	NA	3.09	oligos_7nt_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/oligos_7nt_test_vs_ctrl/peak-motifs_oligos-2str-noov_7nt_test_vs_ctrl.tab
2014-10-08.082832	2014-10-08.082927	NA	0.23	dyads_test_vs_ctrl_2pssm	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/dyads_test_vs_ctrl/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads_pssm_log.txt
2014-10-08.082804	2014-10-08.082831	NA	23.45	dyads_test_vs_ctrl	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/dyads_test_vs_ctrl/peak-motifs_dyads-2str-noov_3nt_sp0-20_bg_monads.tab
2014-10-08.082933	2014-10-08.082940	NA	1.98	motifs_disco_compa	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/discovered_motifs/peak-motifs_motifs_disco_compa.tab
2014-10-08.083039	2014-10-08.083121	NA	34.82	motifs_vs_db_jaspar_core_vertebrates	peak-motifs	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.082435_2014-10-08.082435_N0FUYh/results/discovered_vs_db/peak-motifs_motifs_vs_db_jaspar_core_vertebrates.tab
